global_auroc,brct_auroc,ring_auroc,other_auroc,poison_fraction,trial,target_domain,flip_direction,n_flipped
0.8648381368171277,0.7990283428676314,0.8308745868965282,0.9682984977451815,0.4,3,BRCT,both,694
0.8524764147387907,0.7832374804980268,0.8204575653299717,0.958790919448886,0.4,4,BRCT,both,694
0.8523726107310947,0.7705000152956651,0.8217096521413239,0.9684947770554274,0.4,5,BRCT,both,694
0.8586857034315193,0.7953745908409556,0.8147933630881401,0.9716160968183603,0.4,6,BRCT,both,694
0.8641287376442003,0.8045558138823459,0.8182004020305951,0.9684899897551775,0.4,7,BRCT,both,694
0.8649307420522094,0.7977855700694424,0.8272035024360329,0.9678293423206917,0.4,8,BRCT,both,694
0.8616512245642493,0.7906367585426289,0.8296480528772444,0.9649378129697538,0.4,9,BRCT,both,694
0.8294741357885638,0.7249705558444737,0.8078770740349562,0.9631521499765422,0.6,0,BRCT,both,1041
0.8324965122284136,0.7299741503257977,0.8107900923307554,0.9612276552760836,0.6,1,BRCT,both,1041
0.8313184874937707,0.7324463122151181,0.8104238356444415,0.9623383089340598,0.6,2,BRCT,both,1041
0.8406250982584618,0.7512427727981889,0.8182174372253076,0.9561148186091936,0.6,3,BRCT,both,1041
0.8346975017691907,0.7433463856343112,0.8070849374808354,0.9542525588119836,0.6,4,BRCT,both,1041
0.8164671921188207,0.6915877665269663,0.8182600252120882,0.9625441628448053,0.6,5,BRCT,both,1041
0.8312245900926182,0.7331059377772339,0.806812374365439,0.9619648995145679,0.6,6,BRCT,both,1041
0.8374347402293939,0.7431341582795437,0.8086606929917209,0.9664793236502207,0.6,7,BRCT,both,1041
0.8391903631977322,0.7399870751628989,0.81318353718783,0.9617638329040721,0.6,8,BRCT,both,1041
0.8372758038026725,0.7305439138548135,0.8258236516643385,0.9620797947205653,0.6,9,BRCT,both,1041
0.753090753561102,0.5562727523019977,0.8064972232632619,0.9487567381251016,0.8,0,BRCT,both,1388
0.7548360392008728,0.5685207562176879,0.8090865728595278,0.9284250739637888,0.8,1,BRCT,both,1388
0.7520212707764152,0.5683792713145095,0.8024769173111648,0.9263090872533343,0.8,2,BRCT,both,1388
0.7768239677854384,0.6080313714093426,0.8122977070627918,0.9414082322415098,0.8,3,BRCT,both,1388
0.7581073729703841,0.5782583590810364,0.8012248304998125,0.9383970203843244,0.8,4,BRCT,both,1388
0.7483971756695467,0.5594236593349445,0.8127321045279547,0.9256484398188486,0.8,5,BRCT,both,1388
0.7493671616667736,0.5516783168650005,0.8048277741814588,0.9441274187834513,0.8,6,BRCT,both,1388
0.7683908612846801,0.5982536174248219,0.8092058192225137,0.9412598259337628,0.8,7,BRCT,both,1388
0.7537476046471461,0.56495304230781,0.8062842833293584,0.941015673621018,0.8,8,BRCT,both,1388
0.7713464758108665,0.6085437761938266,0.8128854212803651,0.9313070287142269,0.8,9,BRCT,both,1388
0.6591502802062124,0.41081671204380676,0.7902371299103947,0.8849563876947234,1.0,0,BRCT,both,1736
0.6583667968452196,0.4187398666217994,0.786966372525638,0.8739791082217094,1.0,1,BRCT,both,1736
0.6593621954418412,0.4136406742329224,0.7930479370379203,0.8821318805472841,1.0,2,BRCT,both,1736
0.6625512613048379,0.41187976077579613,0.7971193485741542,0.8891021897111344,1.0,3,BRCT,both,1736
0.6604829341473406,0.41861941325828256,0.7871878300568975,0.8802361096483249,1.0,4,BRCT,both,1736
0.6629436490683698,0.415445562727523,0.7906970801676262,0.8896335800388729,1.0,5,BRCT,both,1736
0.6595646347929498,0.4102985713848696,0.7860805424005997,0.8889633580038871,1.0,6,BRCT,both,1736
0.6617651936117033,0.42012986019762,0.793771932813192,0.8775600088086325,1.0,7,BRCT,both,1736
0.6617763923843177,0.4158738413533605,0.789496098940411,0.8865074729756901,1.0,8,BRCT,both,1736
0.6611953483744335,0.41803626602220934,0.7914551463323226,0.8786802370671085,1.0,9,BRCT,both,1736
0.8826092967903025,0.8497755361130656,0.830491295015502,0.9654021810939939,0.0,0,RING,both,0
0.880993658479646,0.8388792866101746,0.855345644100712,0.9577185641929091,0.0,1,RING,both,0
0.883889402644547,0.8407071186025881,0.8435913597492419,0.9678245550204418,0.0,2,RING,both,0
